Url|标题|时间|介绍|公司|所属行业|子行业|地区|轮次|融资额|股权占比|投资方
https://www.itjuzi.com/investevents/10346|机器人创业公司GreyOrange获得3000万美元B轮投资|2015.8.11|GreyOrange是一家机器人创业公司，主要致力于在零售、物流以及仓库机器人领域构建业务，并尽量帮助企业更快地实现交付和最小误差。目前，GreyOrange获得3000万美元B轮投资，BlumeVentures、TigerGlobalManagement投资。|GreyOrange|硬件|机器人|北美洲·美国|B轮|3000万美元|未透露|BlumeVentures,TigerGlobalManagement(老虎国外)
https://www.itjuzi.com/investevents/10326|以色列国际退税初创公司VATBox获2400万美元B轮投资|2015.8.11|VATBox是以色列一家国际退税初创公司，利用用户的网络数据和费用系统，再加上外部资源如批发商实时记录收集的相关信息，帮助企业讨回被无理征收的增值税。目前，VATBox获2400万美元B轮投资，ViolaPrivateEquity领投。|VATBox|企业服务|综合企业服务|北美洲·美国|不明确|2400万美元|未透露|
https://www.itjuzi.com/investevents/10343|助学贷款服务提供商ProdigyFinance获1亿英镑风险投资|2015.8.11|ProdigyFinance是一家为欧美商学院MBA留学生提供助学贷款的公司，主要由校友提供资金帮助高质量学生人群获得助学贷款。目前，ProdigyFinance获1亿英镑风险投资，BaldertonCapital、EdWray投资。|ProdigyFinance|金融|贷款|北美洲·美国|战略投资|10亿英镑|未透露|BaldertonCapital
https://www.itjuzi.com/investevents/10345|生物医药公司Editas获得1.2亿美元B轮投资|2015.8.11|EditasMedicine是一家生物医药公司，主要开发能精准地编辑基因以及治疗致命性遗传病的技术。目前，Editas获得1.2亿美元B轮投资，由BorisNikolic领投，DeerfieldManagement、GoogleVentures、盖茨等跟投。|EditasMedicine|医疗健康|其他医疗健康服务|北美洲·美国|B轮|1.2亿美元|未透露|GoogleVentures
https://www.itjuzi.com/investevents/10314|按需仓储服务提供商Clutter获得新一轮130万美金种子轮投资|2015.8.10|Clutter为用户提供便捷的仓储方案。用户只需要在网上进行预约，Clutter会安排工作人员到家对家居进行打包，并运送到仓库，待用户需要取回其物件，只需要同样在网上预约，Clutter会将其物件送货到家。目前，Clutter获得新一轮130万美金种子轮投资，具体投资机构未透露。截止到目前，该公司共获得330万美元种子投资。|Clutter|本地生活|家政服务|北美洲·美国|种子轮|130万美元|未透露|
https://www.itjuzi.com/investevents/10311|手游开发商SuperEvilMegacorp获得2600万美金风险投资|2015.8.10|SuperEvilMegacorp是一个手游开发商，致力于面向核心玩家推出重度手游，《虚荣》为其产品之一。目前，SuperEvilMegacorp获得2600万美金风险投资，IndexVentures投资。|SuperEvilMegacorp|游戏|手机游戏|北美洲·美国|战略投资|2600万美元|未透露|IndexVentures
https://www.itjuzi.com/investevents/10313|广告科技初创公司C1X融资510万美元|2015.8.10|C1X是一家通过数据分析，帮助客户高效投放广告的美国创业公司。目前，C1X融资510万美元，EdgeCapital领投，InnovativeVentureFund、MobileInternetCapital、日本媒体公司Mynavi、广告公司和数位天使投资人参投。|C1X|广告营销|广告技术|北美洲·美国|A轮|510万美元|未透露|
https://www.itjuzi.com/investevents/10312|可穿戴设备制造商LemonadeLab获580万美金种子投资|2015.8.10|LemonadeLab是一家为运动员提供可穿戴健身设备的公司，其产品主要受众是一些专业人员，如职业自行车选手和职业跑步运动员。目前，LemonadeLab获580万美金种子投资，FIHMobile富士康领投。|LemonadeLab|硬件|其他硬件|北美洲·美国|种子轮|580万美元|未透露|富智康（FIHMobile）
https://www.itjuzi.com/investevents/10228|网络安全公司Bastille获900万美元A轮融资|2015.8.7|Bastille利用传感器和软件帮助企业保护物联网设备和网络的安全，收费方式主要是传感器的布置费用加上软件的订阅费。近日Bastille获900万美元A轮融资，BessemerVenturePartners领投。|Bastille|企业服务|企业IT服务|北美洲·美国|A轮|900万美元|未透露|BessemerVenturePartners
https://www.itjuzi.com/investevents/10236|在线收入管理平台Payable获210万美元种子投资|2015.8.7|Payable是一家帮助承包商进行收入管理的美国公司，向用户提供收入合计和赋税计算服务。从而方便企业对员工入职、合同签订进行流程化的管理。目前，Payable获210万美元种子投资，FreestyleCapital、Haystack、LererHippeauVentures、MomentVentures、RedpointVentures、RickMarini、RothenbergVentures、YCombinator投资。|Payable|企业服务|法律财会|北美洲·美国|种子轮|210万美元|未透露|FreestyleCapital,红点投资RedpointVentures,RothenbergVentures,YCombinator-YC
https://www.itjuzi.com/investevents/10227|正餐社交俱乐部DinnerLab获700万美元A轮融资|2015.8.7|DinnerLab成立于2011年，是一家为会员组织晚餐聚会的正餐社交平台，会员需要支付100-175美元不等的年费。近日DinnerLab宣布获得700万美元A轮融资，由JamesRiverCapital领投，资金将用于DinnerLab继续拓展美国市场，并逐步开拓B2B业务，针对公司企业客户为其员工提供会员服务。|DinnerLab|本地生活|美食餐饮|北美洲·美国|A轮|700万美元|未透露|
https://www.itjuzi.com/investevents/10230|二手奢侈品交易平台Snobswap获100万美元种子轮融资|2015.8.7|SNOBSWAP成立于2010年2月，是一家二手物品交换和品牌服饰电商平台，用户不仅可以将个人物品进行在线交换，同时还可以在线购买个人设计师品牌服饰。近日Snobswap获100万美元种子轮融资，本轮融资由DingmanAngels，NextLevelManagement联合多家投资机构进行。|SNOBSWAP|电子商务|综合电商|北美洲·美国|种子轮|100万美元|未透露|
https://www.itjuzi.com/investevents/10237|项目管理工具提供商Workfront获3300万美元E轮融资|2015.8.7|Workfront是一个基于云的企业工作管理解决方案，帮助营销团队、创意机构和其他企业团队克服过度的电子邮件、会议等带来的管理问题。近日Workfront获3300万美元E轮融资，由JMIEquity领投，GreenspringGlobalPartners，AtlasPeak跟投。|Workfront|企业服务|其他企业服务|北美洲·美国|E轮|3300万美元|未透露|
https://www.itjuzi.com/investevents/10229|在线手袋分销商Rebagg获400万美元种子轮融资|2015.8.7|Rebagg是一个手袋设计师的在线销售市场，主要针对的是对包的品质有一定要求的中高端人群，主要的竞争对手是TheRealReal。近日Rebagg获得400万美元种子轮融资，投资方不详。|Rebagg|电子商务|奢侈品电商|北美洲·美国|种子轮|400万美元|未透露|
