融资方,投资机构,融资金额,所属行业,宣布时间,Url
昆仑决,IDG资本/北极光创投/晨兴资本,"20,000.00万元",体育组织,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29096.shtml
极维客,N/A,N/A,其他通信设备制造,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29091.shtml
果酱直播,梅花创投/安芙兰资产/深圳创新谷,N/A,互联网信息服务,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29080.shtml
Prenetics,平安创新中心/500 Startups,"1,000.00万美元",其他卫生活动,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29075.shtml
通拓科技,纵联资本,N/A,邮购及电子销售,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29070.shtml
传化化学品,国开金融,"6,000.00万元",其他专用化学产品制造,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29069.shtml
火乐科技,金砖丝路资本/中金前海,"60,000.00万元",幻灯及投影设备制造,2016-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29051.shtml
扬德环境,国科蓝海/中信建投资本/天泽投资/弘德投资/华清坤德投资,"5,251.00万元",工程和技术研究与试验发展,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29129.shtml
中科国信,日出投资,400.00万元,其他电子设备制造,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29124.shtml
乐视体育,海航资本投资/国开金融/建银国际/高瓴资本/华人文化投资基金,"700,000.00万元",互联网信息服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29113.shtml
无端科技,国金纵横,"6,000.00万元",基础软件服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29106.shtml
白领科技,香港尚峰集团,N/A,互联网信息服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29082.shtml
海豚科技,险峰长青/唯猎资本/玖创资产,N/A,应用软件服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29068.shtml
鲜动生活,和智资本/长润资产,N/A,邮购及电子销售,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29060.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

云厨电商,宝樾投资,"5,000.00万元",邮购及电子销售,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29059.shtml
雅聪餐饮,N/A,"1,000.00万元",快餐服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29056.shtml
鲸鹳科技,昆仲资本/联想之星,N/A,互联网信息服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29050.shtml
护理家360,普华资本,N/A,其他未列明的商务服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29043.shtml
斗鱼网络,红杉中国/南山资本,N/A,互联网信息服务,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29034.shtml
上虞卧龙,国开金融,"12,800.00万元",投资与资产管理,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29027.shtml
申科股份,华创融金,"74,998.74万元",轴承制造,2016-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28650.shtml
万马高分子,国开金融,"10,000.00万元",初级形态的塑料及合成树脂制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29083.shtml
国际纸业印尼,架桥资本,N/A,加工纸制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29065.shtml
国际纸业泰国,架桥资本,N/A,加工纸制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29064.shtml
国际纸业柔佛,架桥资本,N/A,加工纸制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29063.shtml
国际纸业吉隆坡,架桥资本,N/A,加工纸制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29062.shtml
纸业投资亚洲,架桥资本,N/A,加工纸制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29061.shtml
搜芽,N/A,N/A,互联网信息服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29054.shtml
百替生物,如山投资,N/A,其他卫生活动,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29045.shtml
艾吉泰康,普华资本/联想之星/贝壳基金,N/A,医学研究与试验发展,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29044.shtml
沙隆达控股,中国农发重点建设基金,"20,000.00万元",化学农药制造,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29024.shtml
美丽加,宏流投资/东方富海/微光创投/安卓信创投/红秀资本,"6,000.00万元",互联网信息服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29009.shtml
优客工场,N/A,"20,000.00万元",其他企业管理服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29007.shtml
博尔德,晨兴资本/IDG资本,N/A,互联网信息服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29002.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

魔多,清科创投/极客帮/任飞资本,600.00万元,互联网信息服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29001.shtml
菜鸟网络,淡马锡/春华/马来西亚国库控股/GIC,N/A,数据处理,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28998.shtml
五味,隆领投资/五岳元航/浅石创投/紫牛基金/励石投资,"2,000.00万元",互联网信息服务,2016-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27032.shtml
新氧,腾讯,"5,000.00万美元",互联网信息服务,2016-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28999.shtml
乐客灵境,和君正德,500.00万元,其他软件服务,2016-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28992.shtml
聚金金服,和璞资本,"6,000.00万元",投资与资产管理,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29026.shtml
星站TV,经纬创投/德同资本,N/A,电视,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28997.shtml
福州京东方,国开金融,"160,000.00万元",光电子器件及其他电子器件制造,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28995.shtml
Y先生,N/A,42.00万元,互联网信息服务,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28993.shtml
维真验车,拓界资本,"1,000.00万元",汽车，摩托车维护与保养,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28987.shtml
人瑞集团,基石资本,"10,000.00万元",其他未列明的教育,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28985.shtml
Kyligence,红点投资,N/A,数据处理,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28982.shtml
圣石拍卖,N/A,"3,000.00万元",互联网信息服务,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28974.shtml
橙学科技,N/A,N/A,互联网信息服务,2016-03-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28971.shtml
天友设计,融沣股权投资,"3,000.00万元",工程勘察设计,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29089.shtml
掌玩网络,源渡创投/耀途资本/科唐资本,"3,000.00万元",互联网信息服务,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29038.shtml
酷咔数字,松禾资本,600.00万元,互联网信息服务,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29036.shtml
来三斤,N/A,300.00万元,邮购及电子销售,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29035.shtml
魔猎网,N/A,N/A,互联网信息服务,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28965.shtml
葫芦娃网络,N/A,300.00万元,互联网信息服务,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28964.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

Cacacave,N/A,N/A,饮料及茶叶零售,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28960.shtml
仁度生物,华盖资本,"10,000.00万元",生物，生化制品的制造,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28957.shtml
Wework,弘毅投资/联想控股,"43,000.00万美元",互联网信息服务,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28956.shtml
欧德蒙,星河互联,"2,000.00万元",电子工业专用设备制造,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28955.shtml
慕声科技,N/A,N/A,其他电子设备制造,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28954.shtml
金刚文化,IDG资本,"4,000.00万元",其他文化艺术,2016-03-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28950.shtml
塑米信息,广发信德环保/万联天泽,"7,269.38万元",电子计算机外部设备制造,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29112.shtml
种草没,初心资本/帮实资本,100.00万元,互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29033.shtml
幻盒文化,中路集团,N/A,广告业,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28947.shtml
咸蛋动画,东方华盖创投,660.00万元,互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28946.shtml
猎萌网络,启赋资本,N/A,互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28944.shtml
八斗网络,N/A,N/A,应用软件服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28935.shtml
格像科技,易津投资/中缔投资,"1,000.00万元",应用软件服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28933.shtml
翼道网络,N/A,"1,000.00万元",互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28929.shtml
猪兼强,N/A,N/A,互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28922.shtml
小知科技,N/A,500.00万美元,互联网信息服务,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28918.shtml
百花村,N/A,"40,059.35万元",烟煤和无烟煤的开采洗选,2016-03-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28778.shtml
中航机电,宁波景盛/华菱津杉,"70,000.00万元",汽车零部件及配件制造,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29006.shtml
国融互联网,N/A,500.00万元,互联网信息服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28911.shtml
异构智能,极客帮创投,N/A,计算机系统服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28908.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

垂衣,清流资本,N/A,互联网信息服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28907.shtml
快来租我,N/A,500.00万元,互联网信息服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28889.shtml
佑丰科技,N/A,"2,000.00万元",互联网信息服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28884.shtml
摩码公寓,全经联创新基金,500.00万元,房地产中介服务,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28881.shtml
e葱金融,诺辉岭南,"1,000.00万元",其他未列明的金融活动,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28878.shtml
世界高铁网,朗玛峰创投/丰厚资本,"2,000.00万元",邮购及电子销售,2016-03-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28877.shtml
啼鸥网,N/A,800.00万元,互联网信息服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28921.shtml
柠萌影视,弘毅投资/腾讯/海通芒果,"50,000.00万元",电影制作与发行,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28909.shtml
兴容通信,中兴合创,N/A,通信设备零售,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28897.shtml
创略中国,无穹创投/均弥资本,N/A,互联网信息服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28888.shtml
九尾科技,梅花创投,"6,300.00万元",应用软件服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28882.shtml
时间价值,安星资产,"2,000.00万元",互联网信息服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28875.shtml
青云,蓝驰创投,"10,000.00万美元",技术推广服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28869.shtml
多有米,海量资本,N/A,其他未列明的商务服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28867.shtml
纷享科技,高瓴资本/IDG资本/北极光创投/DCM/中信产业基金,N/A,应用软件服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28858.shtml
绿成,广发信德,"1,000.00万元",其他餐饮服务,2016-03-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28852.shtml
人人地推,易一天使投资,500.00万元,互联网信息服务,2016-03-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28856.shtml
仝干生物,宜利资本,"1,500.00万元",假肢，人工器官及植（介）入器械制造,2016-03-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28928.shtml
淘金你我,成都高投创投,N/A,互联网信息服务,2016-03-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28912.shtml
洋萌,N/A,"3,000.00万元",邮购及电子销售,2016-03-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28902.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

悦食,诚承投资/经纬中国/喜乐佳投资,"3,000.00万元",互联网信息服务,2016-03-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28898.shtml
