融资方,投资机构,融资金额,所属行业,宣布时间,Url
雷科技,鉴睿资本/传媒梦工场,150.00万元,互联网信息服务,2015-08-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24190.shtml
信息驿站,N/A,N/A,互联网信息服务,2015-08-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25512.shtml
追趣网络,N/A,N/A,互联网信息服务,2015-08-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25505.shtml
凌志软件,益菁汇/益菁汇/毅达资本/汉理前景投资/汉理前景投资/呈瑞投资/瑞华投资,"6,251.55万元",应用软件服务,2015-08-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24583.shtml
酒店哥哥,经纬中国/海纳亚洲/成为资本,"2,000.00万美元",互联网信息服务,2015-08-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24161.shtml
Mostfun,N/A,500.00万元,电子计算机外部设备制造,2015-08-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24153.shtml
凌宇智控,荷多投资,N/A,工程和技术研究与试验发展,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26908.shtml
伟乐科技,九泰基金/九泰基金/中科招商/中科招商/中科招商/宁波鼎锋明道,"2,800.00万元",其他电信服务,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25468.shtml
凯昶德,鼎锋资产/中科招商/科丰科投,"1,330.00万元",电子元件及组件制造,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24739.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

乐学在线,H Capital/基因资本,"3,000.00万美元",互联网信息服务,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24456.shtml
条条,真格基金,100.00万美元,应用软件服务,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24171.shtml
一数科技,N/A,"4,000.00万元",应用软件服务,2015-08-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24159.shtml
Yorgt,线性资本,300.00万美元,应用软件服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27491.shtml
汇稷金融,冠英资本,"1,000.00万元",其他未列明的金融活动,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27399.shtml
金无忧金融,险峰华兴,N/A,其他未列明的金融活动,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27284.shtml
博申租赁,前海盈合,N/A,金融租赁,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27212.shtml
华谊兄弟,阿里创投/平安资产,"221,339.65万元",电影制作与发行,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27088.shtml
糖罐科技,左驭资本,N/A,互联网信息服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26487.shtml
海优新材,辰阳投资/领汇创投,612.00万元,塑料薄膜制造,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25910.shtml
卡尔配达,险峰华兴创投/德沃基金,N/A,邮购及电子销售,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25785.shtml
新足迹,腾讯,640.00万元,互联网信息服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24182.shtml
福佑卡车,盈信投资,"4,500.00万元",道路货物运输,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24160.shtml
职讯网,N/A,N/A,互联网信息服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24156.shtml
野途,N/A,"2,000.00万元",应用软件服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24138.shtml
云足疗,中路集团,"3,000.00万元",应用软件服务,2015-08-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24131.shtml
中国康富,摩根士丹利亚洲投资/瑞华信投资/方富资本/高新创业投资,"58,037.50万元",建筑工程机械与设备租赁,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27552.shtml
东南股份,天星资本/江苏华睿,600.00万元,其他机械设备及电子产品批发,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27394.shtml
敬拍网络,熊猫资本,600.00万元,互联网信息服务,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27393.shtml
浦东金桥,西藏自治区投资/天润资本/上银基金/自贸区基金管理公司,"37,100.00万元",其他房地产活动,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27117.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

安琪儿妇产医院,红杉中国,N/A,专科医院,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25483.shtml
指动生活,N/A,"1,000.00万元",邮购及电子销售,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25368.shtml
微鲸科技,阿里资本/腾讯/华人文化投资,"200,000.00万元",家用影视设备制造,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24152.shtml
伏牛堂,分享投资/青骢资本,N/A,正餐服务,2015-08-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24134.shtml
光合邦,迭代资本,N/A,应用软件服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28939.shtml
一号护工,虎童基金,N/A,互联网信息服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27236.shtml
弘火云管家,N/A,N/A,互联网信息服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26577.shtml
春秋鸿,华盖映月影视,500.00万元,投资与资产管理,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26010.shtml
深拓智能,天星资本/天星资本/中一资本/天风天盈/东方比逊基金,"3,300.00万元",工业自动控制系统装置制造,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25886.shtml
埃林哲,呈瑞投资,600.00万元,应用软件服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25339.shtml
拉拉米,盛禾聚合,500.00万元,邮购及电子销售,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24196.shtml
亚盛医药,元禾原点/元明资本,"9,600.00万元",医学研究与试验发展,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24149.shtml
人人行,N/A,"200,000.00万元",互联网信息服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24128.shtml
学吧课堂,晨兴创投,N/A,计算机系统服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24115.shtml
住百家,金石投资/AB Capital,N/A,互联网信息服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24078.shtml
速位,英诺天使,"1,000.00万元",应用软件服务,2015-08-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24075.shtml
悦车网络,聚秀资本,500.00万元,互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29081.shtml
陪我科技,IDG资本/信中利/清控科创,N/A,应用软件服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28469.shtml
圈层,N/A,100.00万元,互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27627.shtml
知南针,苏河汇,N/A,互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26853.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

零公里,探针创投,N/A,互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26695.shtml
1233购,N/A,N/A,邮购及电子销售,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26685.shtml
3k猎头,创新工场,N/A,职业中介服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24125.shtml
迪蒙网络,N/A,"50,000.00万元",互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24106.shtml
SEMC,Index,"2,600.00万美元",应用软件服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24083.shtml
好易居科技,光速安振中国,500.00万美元,互联网信息服务,2015-08-11,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21816.shtml
美贝网,天使湾创投,100.00万元,文艺创作与表演,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27178.shtml
女神来这儿,分享投资/洪泰基金,N/A,互联网信息服务,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26011.shtml
东邻集市,太冠资本,N/A,邮购及电子销售,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25234.shtml
新娱加娱乐,IDG资本,"1,000.00万元",文化艺术经纪代理,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24077.shtml
有福妈妈,经纬中国/景林资产,"3,000.00万元",互联网信息服务,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24044.shtml
房不剩房,N/A,N/A,邮购及电子销售,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24035.shtml
云汉电子,深创投/东方富海/丰利财富,N/A,邮购及电子销售,2015-08-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24032.shtml
普道财务,峰瑞资本,"1,300.00万元",会计，审计及税务服务,2015-08-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28195.shtml
台和商事,Asia-IO GP,N/A,电子元件及组件制造,2015-08-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24992.shtml
书友,N/A,N/A,图书零售,2015-08-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24154.shtml
趣分期,源码资本/蓝驰创投,N/A,互联网信息服务,2015-08-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24057.shtml
万能小哥,顺为基金,"2,000.00万元",互联网信息服务,2015-08-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24038.shtml
真趣网络,新余天游/新余乐活,914.88万元,基础软件服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28733.shtml
音曼科技,尚势投资,"1,000.00万元",应用软件服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28414.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

萨摩耶金融,N/A,N/A,其他未列明的金融活动,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26352.shtml
众人在线,IDG资本,N/A,应用软件服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26054.shtml
至前网络,陶石资本,N/A,其他未列明的金融活动,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26050.shtml
极牛网,集结号资本,300.00万元,互联网信息服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25196.shtml
爱科赛科技,N/A,98.51万元,计算机系统服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24691.shtml
非常大脑,N/A,N/A,互联网信息服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24025.shtml
Practo,腾讯/谷歌资本/Sofina/经纬创投,"9,000.00万美元",互联网信息服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24024.shtml
石头理财,集结号资本,"1,000.00万元",互联网信息服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24023.shtml
方块猫,N/A,N/A,应用软件服务,2015-08-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24017.shtml
速得回收,N/A,N/A,投资与资产管理,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28401.shtml
星想软件,顺为基金,N/A,互联网信息服务,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27268.shtml
信维通信,深创投,"3,000.00万元",移动通信及终端设备制造,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27133.shtml
目光璀璨,极客帮,N/A,互联网信息服务,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25992.shtml
银库科技,美拓资本,"10,000.00万元",其他未列明的金融活动,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25094.shtml
来客,厚持资本,"1,000.00万元",互联网信息服务,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23988.shtml
医伯来招聘网,中金汇财,N/A,互联网信息服务,2015-08-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/20266.shtml
靖哥哥,N/A,N/A,邮购及电子销售,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26936.shtml
Cloud 旗云,经纬中国,N/A,其他专业技术服务,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26458.shtml
卖萌货,晨光创投,"1,000.00万元",应用软件服务,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25946.shtml
快租网络,新进创投,N/A,互联网信息服务,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25739.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

佳瑞高科,天星资本,"4,560.00万元",化学药品原药制造,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25321.shtml
易思汇,真格基金/泰有投资/创业邦天使基金,N/A,其他计算机服务,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25262.shtml
Mevion,厚朴投资/元明资本,"20,000.00万美元",医疗诊断，监护及治疗设备制造,2015-08-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24601.shtml
逗拍,创新工场,"1,000.00万元",应用软件服务,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28397.shtml
富瑞特装,张家港金科创投,"13,900.02万元",阀门和旋塞的制造,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27004.shtml
诺菲纳米科技,英特尔投资,"1,000.00万元",半导体分立器件制造,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26380.shtml
即信科技,陶石资本,N/A,其他未列明的金融活动,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26051.shtml
中兴派能,景和道,N/A,电池制造,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25160.shtml
宾肯股份,信中利,"2,250.00万元",家用空气调节器制造,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25123.shtml
促销易,N/A,N/A,应用软件服务,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23989.shtml
第三石科技,IDG资本,"2,000.00万美元",应用软件服务,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23939.shtml
焰火工坊,丰厚资本,"1,000.00万元",互联网信息服务,2015-08-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23917.shtml
略懂科技,N/A,N/A,应用软件服务,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28738.shtml
袋鼠托教,挚盈资本,N/A,职业技能培训,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26924.shtml
捷安高科,惠通高创/德瑞恒通/森得瑞,"1,290.00万元",其他软件服务,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25976.shtml
九慧金服,险峰华兴创投,N/A,其他未列明的金融活动,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25922.shtml
雅洁源,N/A,"1,000.00万元",畜牧机械制造,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25411.shtml
爱奥乐,N/A,"1,650.00万元",医疗诊断，监护及治疗设备制造,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25109.shtml
云络科技,浙江九仁资本,"5,600.00万元",互联网信息服务,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23983.shtml
致导科技,信天创投,"1,000.00万元",航空，航天及其他专用设备制造,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23966.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

人人车,腾讯/顺为基金,"8,500.00万美元",互联网信息服务,2015-08-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/22390.shtml
云树,N/A,200.00万元,互联网信息服务,2015-08-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27365.shtml
青普旅游,风云天使基金,"4,000.00万元",旅行社,2015-08-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23978.shtml
纳什空间,N/A,"3,000.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29005.shtml
悦食,经纬中国,700.00万元,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28899.shtml
爱活动,N/A,100.00万元,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28325.shtml
走起汽车,N/A,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27968.shtml
乐驰金服,N/A,800.00万元,金融信托与管理,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27950.shtml
酷听说,华映资本,"1,600.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27558.shtml
创游记,葳尔资本,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27260.shtml
隆麟信息科技,飞马旅,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27161.shtml
蛙鸣健康,N/A,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27056.shtml
圆心科技,红杉中国/腾讯,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27054.shtml
趣吃饭,零一创投,"1,200.00万元",快餐服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26840.shtml
康方生物,深创投/建信资本,"13,000.00万元",生物，生化制品的制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26792.shtml
爱康计划科技,德沃基金,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26561.shtml
趣炒股网,凤凰资本,"10,000.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26500.shtml
舍品,N/A,350.00万元,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26447.shtml
车盈科技,创势资本,"2,000.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26405.shtml
蒲公英,N/A,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26275.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

侍家科技,东方弘道,N/A,其他清洁服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26248.shtml
傻瓜理财,N/A,"3,000.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25950.shtml
同窗兼职,N/A,400.00万元,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25803.shtml
锅否,星河互联,N/A,正餐服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25797.shtml
纠纠,N/A,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25724.shtml
中医宝典,怀道投资,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25520.shtml
千寸毫,天使湾创投,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25314.shtml
智慧流,未来工场,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25143.shtml
夸克未来,未来工场,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25129.shtml
看中医,N/A,800.00万元,其他卫生活动,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24869.shtml
乐纯,IDG资本,N/A,其他未列明的零售,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24863.shtml
壕友科技,信天创投,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24787.shtml
疯火科技,天奇阿米巴,N/A,其他专用设备制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24778.shtml
狮途文化,天奇阿米巴,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24776.shtml
宝晟科技,众诚资本,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24718.shtml
宅豆家居,N/A,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24713.shtml
易康就医,N/A,N/A,其他未列明的零售,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24631.shtml
斧子科技,IDG资本/北极光创投/复星集团,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24582.shtml
车到网络,真格基金,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24581.shtml
大米科技,北极光创投,N/A,初等教育,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24568.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

帮帮账,中路集团,"1,000.00万元",应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24551.shtml
早易点,苏河汇,N/A,其他电子设备制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24549.shtml
云餐网,苏河汇,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24548.shtml
妈咪驾到,苏河汇,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24547.shtml
水果江湖,苏河汇,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24508.shtml
智航无人机,北极光创投,N/A,其他专用设备制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24485.shtml
新新家长,N/A,N/A,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24447.shtml
瑞工科技,中科招商集团,"2,000.00万元",应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24397.shtml
生活半径,阿里资本,"30,000.00万元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24388.shtml
衣拍即合,N/A,N/A,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24363.shtml
天机,金沙江创投,500.00万美元,应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24354.shtml
智能表芯,N/A,N/A,钟表与计时仪器制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24347.shtml
仁云科技,N/A,N/A,其他企业管理服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24346.shtml
美丽租,N/A,N/A,其他文化及日用品出租,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24345.shtml
悦动圈,松禾资本/永宣创投/腾讯,"5,000.00万元",应用软件服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24328.shtml
维猎网,N/A,N/A,职业中介服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24305.shtml
云潮创孵,N/A,N/A,投资与资产管理,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24304.shtml
链端网,N/A,N/A,邮购及电子销售,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24250.shtml
海淘车网,N/A,N/A,邮购及电子销售,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23967.shtml
惠租车,北极光创投,"1,000.00万美元",互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23960.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

京颐股份,盛世景/软银中国资本/弘晖资本,"22,100.00万元",其他医疗设备及器械制造,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23952.shtml
上海立到,移动互联网投资基金,200.00万美元,互联网信息服务,2015-08-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23936.shtml
Hi维修,N/A,"1,000.00万元",其他日用品修理,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28679.shtml
内蒙古信联,中信产业基金,"16,461.47万元",百货零售,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28037.shtml
智趣车联,真格基金,N/A,互联网信息服务,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27375.shtml
博雅智源,东方弘道,N/A,其他专业咨询,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26230.shtml
鲜歌科技,集结号资本,N/A,邮购及电子销售,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25657.shtml
万味林,N/A,500.00万元,邮购及电子销售,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25536.shtml
Uber,中国平安/高瓴资本/百度,"100,000.00万美元",应用软件服务,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24412.shtml
青橙科技,动域资本/顺为基金,"2,000.00万元",应用软件服务,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24331.shtml
十花汤,N/A,N/A,茶饮料及其他软饮料制造,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24067.shtml
山东韩都衣舍,景辉投资,"1,200.00万美元",邮购及电子销售,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23973.shtml
DroneBase,天空基金,N/A,其他机械与设备租赁,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23944.shtml
小马管家,经纬中国/浙商创投,"5,000.00万元",互联网信息服务,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23918.shtml
优T,N/A,N/A,互联网信息服务,2015-07-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23897.shtml
奇想国文化,挚信资本,N/A,图书出版,2015-07-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28822.shtml
混沌时代,分享投资/艾瑞资本,N/A,其他未列明的教育,2015-07-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28688.shtml
拓美传媒,联润东方/狄普投资,"1,140.00万元",广告业,2015-07-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26822.shtml
川娇农牧,善达投资/善达投资,"3,200.00万元",猪的饲养,2015-07-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25980.shtml
云霁科技,多牛资本,N/A,其他计算机服务,2015-07-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25835.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

