融资方,投资机构,融资金额,轮次,投资时间,Url
九次方大数据,信中利资本，键桥通讯，博信资本，IDG资本，德同资本,50000万人民币,B轮,2015-11-22,http://if.pedaily.cn/invest/50006279.shtml
天津金融资产交易所,蚂蚁金服-阿里巴巴,N/A,A轮,2015-11-20,http://if.pedaily.cn/invest/50006280.shtml
兆尹科技,未公开,N/A,上市,2015-11-20,http://if.pedaily.cn/invest/50006445.shtml
银盒子,东方富海，中瑞资本－和嘉瑞兴,N/A,B轮,2015-11-18,http://if.pedaily.cn/invest/50006281.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

银豆网-债权交易网,中国恒天(恒天资产),30000万人民币,B轮,2015-11-18,http://if.pedaily.cn/invest/50006364.shtml
洋钱罐,昆仑万维,31000万人民币,A轮,2015-11-17,http://if.pedaily.cn/invest/50006225.shtml
小铜人金融,汉鼎股份,N/A,天使投资,2015-11-10,http://if.pedaily.cn/invest/50006176.shtml
金贸街,聚秀资本,1000万人民币,天使投资,2015-11-07,http://if.pedaily.cn/invest/50006177.shtml
大大财经,不详,2000万人民币,A轮,2015-11-07,http://if.pedaily.cn/invest/50006178.shtml
美利金融,贝塔斯曼亚洲投资基金/Betafund，晨兴创投MorningSide，光信资本，挖财,6500万美元,A轮,2015-11-05,http://if.pedaily.cn/invest/50006174.shtml
工付宝,未透露,1000万人民币,天使投资,2015-11-05,http://if.pedaily.cn/invest/50006175.shtml
我来操盘,未公开,1000万人民币,天使投资,2015-11-05,http://if.pedaily.cn/invest/50006519.shtml
招财猫理财,浙大友创,N/A,A轮,2015-11-04,http://if.pedaily.cn/invest/50006180.shtml
什马金融,FreesFund峰瑞资本,N/A,A轮,2015-11-03,http://if.pedaily.cn/invest/50006181.shtml
掌贝微POS(掌贝智能POS),丰厚资本，金沙江创投,10000万人民币,A轮,2015-11-03,http://if.pedaily.cn/invest/50006182.shtml
金蝶金链,上海喜氏金融,2400万人民币,并购,2015-11-02,http://if.pedaily.cn/invest/50006183.shtml
爱定投,聚信达集团,7000万人民币,A轮,2015-10-30,http://if.pedaily.cn/invest/50006173.shtml
金融猪,陶石资本,N/A,天使投资,2015-10-29,http://if.pedaily.cn/invest/50006179.shtml
亿金融,创东方投资,3680万人民币,A轮,2015-10-28,http://if.pedaily.cn/invest/50006187.shtml
91征信,经纬中国,1000万人民币,天使投资,2015-10-27,http://if.pedaily.cn/invest/50006189.shtml
杭州惠借科技,杭州多牛资本,N/A,天使投资,2015-10-27,http://if.pedaily.cn/invest/50006184.shtml
今日捷财,西藏珠峰,3000万人民币,A轮,2015-10-27,http://if.pedaily.cn/invest/50006186.shtml
专投网,经纬中国,N/A,A轮,2015-10-26,http://if.pedaily.cn/invest/50006188.shtml
微汇金融WeXFin,不详,3200万美元,A轮,2015-10-25,http://if.pedaily.cn/invest/50006191.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

蜜蜂金服-蜂蜜理财,不详,3000万人民币,并购,2015-10-25,http://if.pedaily.cn/invest/50006192.shtml
小财神,元素资本,1000万人民币,A轮,2015-10-23,http://if.pedaily.cn/invest/50006193.shtml
付融宝,中技控股，软银中国/软银集团，浙商创投,35000万人民币,B轮,2015-10-22,http://if.pedaily.cn/invest/50006172.shtml
未来付网络,邦易资本,2000万人民币,天使投资,2015-10-20,http://if.pedaily.cn/invest/50006190.shtml
百融金服,不详,20000万人民币,B轮,2015-10-20,http://if.pedaily.cn/invest/50006196.shtml
融贝网,不详,N/A,A轮,2015-10-19,http://if.pedaily.cn/invest/50006195.shtml
小赢理财,周大福,6000万美元,A轮,2015-10-16,http://if.pedaily.cn/invest/50006194.shtml
真融宝,红杉资本中国,N/A,B轮,2015-10-14,http://if.pedaily.cn/invest/50006198.shtml
有道金融,不详,1000万人民币,天使投资,2015-10-14,http://if.pedaily.cn/invest/50006199.shtml
私银家-友道财富,IDG资本,N/A,B轮,2015-10-13,http://if.pedaily.cn/invest/50006200.shtml
方创APP-方创资本,华西股份,N/A,A轮,2015-10-13,http://if.pedaily.cn/invest/50006197.shtml
融360,云峰基金/赛领基金//红杉/Star VC,100000万人民币,D轮,2015-10-13,http://if.pedaily.cn/invest/50006171.shtml
爱交子,不详,300万人民币,天使投资,2015-10-11,http://if.pedaily.cn/invest/50006218.shtml
恒富在线,中瀛鑫,1900万人民币,A轮,2015-10-09,http://if.pedaily.cn/invest/50006185.shtml
P2P圈,不详,N/A,天使投资,2015-10-08,http://if.pedaily.cn/invest/50006217.shtml
聪头金融,不详,N/A,A轮,2015-09-30,http://if.pedaily.cn/invest/50006219.shtml
开鑫贷,国开金融,20000万人民币,天使投资,2015-09-30,http://if.pedaily.cn/invest/50006170.shtml
车险无忧,通鼎互联,3000万人民币,A轮,2015-09-30,http://if.pedaily.cn/invest/50006205.shtml
天创信用,大北农集团,1305万人民币,A轮,2015-09-30,http://if.pedaily.cn/invest/50006206.shtml
工资钱包,软银中国/软银集团,N/A,A轮,2015-09-30,http://if.pedaily.cn/invest/50006207.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

艺恩汇,景林投资,N/A,A轮,2015-09-29,http://if.pedaily.cn/invest/50006204.shtml
黄金钱包,软银中国/软银集团,10700万人民币,B轮,2015-09-23,http://if.pedaily.cn/invest/50006169.shtml
电网贷,不详,4000万人民币,A轮,2015-09-21,http://if.pedaily.cn/invest/50006212.shtml
北京梦哆啦网络,险峰华兴，小马蜂创投,1000万人民币,天使投资,2015-09-20,http://if.pedaily.cn/invest/50006216.shtml
战国策,不详,500万人民币,天使投资,2015-09-19,http://if.pedaily.cn/invest/50006213.shtml
优势财富-U 优财,中国瀛晟娱乐,4000万人民币,A轮,2015-09-16,http://if.pedaily.cn/invest/50006215.shtml
永利宝金融,博汇源创投，汉理资本,10000万人民币,B轮,2015-09-15,http://if.pedaily.cn/invest/50006220.shtml
爱学贷,中银投资浙商产业基金,30000万人民币,B轮,2015-09-14,http://if.pedaily.cn/invest/50006168.shtml
信通袋,不详,N/A,A轮,2015-09-07,http://if.pedaily.cn/invest/50006203.shtml
菠萝袋,不详,10000万人民币,并购,2015-09-07,http://if.pedaily.cn/invest/50006221.shtml
蚂蚁金服,中邮资本,N/A,并购,2015-09-05,http://if.pedaily.cn/invest/50006210.shtml
未来研究所,险峰华兴,N/A,天使投资,2015-09-03,http://if.pedaily.cn/invest/50006222.shtml
海绵保险-必保网络,不详,N/A,天使投资,2015-09-02,http://if.pedaily.cn/invest/50006214.shtml
很帅的投资客,信天创投,650万人民币,天使投资,2015-09-01,http://if.pedaily.cn/invest/50006211.shtml
资产360,源码资本,3000万人民币,A轮,2015-09-01,http://if.pedaily.cn/invest/50006223.shtml
财鱼管家,不详,2000万人民币,A轮,2015-08-30,http://if.pedaily.cn/invest/50006224.shtml
老虎证券,小米科技,N/A,A轮,2015-08-28,http://if.pedaily.cn/invest/50006167.shtml
万象众筹,不详,500万人民币,天使投资,2015-08-27,http://if.pedaily.cn/invest/50006208.shtml
BBD数联铭品,国金证券直投，鼎晖投资,10000万人民币,B轮,2015-08-27,http://if.pedaily.cn/invest/50006209.shtml
玛瑙湾,不详,1000万人民币,天使投资,2015-08-24,http://if.pedaily.cn/invest/50006201.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

淘梦网,游族网络,N/A,A轮,2015-08-20,http://if.pedaily.cn/invest/50006166.shtml
点融网,渣打银行/CFF,27000万美元,C轮,2015-08-20,http://if.pedaily.cn/invest/50006157.shtml
合力贷,兰天控股，好贷网,10000万人民币,A轮,2015-08-15,http://if.pedaily.cn/invest/50006165.shtml
